epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4047,1.77747,2.49265,0.90747,0.037,0.23358,0.16543,0.07549,1.91419,2.76748,0.87594,0.000405983,0.000405983,0.000405983
2,55.3733,1.61451,1.23072,0.85776,0.67928,0.17679,0.1922,0.08401,1.9181,2.02214,0.87428,0.000814505,0.000814505,0.000814505
3,81.3337,1.57521,1.13327,0.84974,0.77998,0.21981,0.25894,0.1527,1.36136,1.31615,0.82998,0.00121478,0.00121478,0.00121478
4,107.541,1.52323,1.04989,0.8476,0.73286,0.26997,0.30214,0.16132,1.41964,1.10406,0.83055,0.00121287,0.00121287,0.00121287
5,133.691,1.53697,0.98646,0.8419,0.67694,0.36126,0.36909,0.20729,1.31614,0.85048,0.82664,0.0012005,0.0012005,0.0012005
6,159.896,1.42083,0.91124,0.83533,0.72633,0.42287,0.455,0.24141,1.39613,0.77961,0.83316,0.00118812,0.00118812,0.00118812
7,185.878,1.42043,0.86601,0.83676,0.79663,0.50595,0.54429,0.31403,1.24757,0.71361,0.81911,0.00117575,0.00117575,0.00117575
8,211.972,1.38933,0.83486,0.82885,0.81104,0.51575,0.55907,0.32972,1.2266,0.69737,0.81697,0.00116337,0.00116337,0.00116337
9,237.626,1.32025,0.79416,0.82596,0.8161,0.53717,0.58342,0.33144,1.29402,0.7017,0.81828,0.001151,0.001151,0.001151
10,263.625,1.34899,0.79818,0.82778,0.81099,0.54611,0.57079,0.34005,1.17068,0.68161,0.81309,0.00113863,0.00113863,0.00113863
11,289.7,1.34858,0.77149,0.82342,0.8349,0.56357,0.60497,0.36309,1.12576,0.65331,0.80759,0.00112625,0.00112625,0.00112625
12,315.155,1.29745,0.73621,0.82373,0.60027,0.57533,0.6248,0.37111,1.1997,0.64551,0.8154,0.00111388,0.00111388,0.00111388
13,341.218,1.34619,0.73386,0.8264,0.85907,0.55366,0.61762,0.36193,1.27421,0.65642,0.81865,0.0011015,0.0011015,0.0011015
14,367.437,1.37044,0.7336,0.82521,0.86648,0.57385,0.63147,0.38125,1.17701,0.64295,0.81019,0.00108913,0.00108913,0.00108913
15,393.708,1.28765,0.70702,0.82236,0.88159,0.55948,0.63307,0.4017,1.09109,0.60056,0.80801,0.00107675,0.00107675,0.00107675
16,419.896,1.28082,0.68255,0.82157,0.85337,0.59532,0.65112,0.38498,1.21584,0.63618,0.81057,0.00106437,0.00106437,0.00106437
17,445.691,1.23561,0.66689,0.81848,0.87708,0.59752,0.66583,0.41211,1.06472,0.58774,0.80367,0.001052,0.001052,0.001052
18,472.008,1.23027,0.64858,0.81813,0.88264,0.58815,0.66235,0.41922,1.0659,0.56343,0.80651,0.00103962,0.00103962,0.00103962
19,497.956,1.25721,0.65664,0.81902,0.89657,0.59639,0.66652,0.39004,1.18313,0.59434,0.809,0.00102725,0.00102725,0.00102725
20,524.001,1.28631,0.66868,0.81848,0.88047,0.61787,0.66572,0.42389,1.04481,0.57558,0.80142,0.00101488,0.00101488,0.00101488
21,550.148,1.21342,0.63805,0.817,0.89582,0.59683,0.66234,0.42666,1.04717,0.54532,0.80215,0.0010025,0.0010025,0.0010025
22,575.795,1.21076,0.63327,0.81446,0.90127,0.60877,0.67307,0.42486,1.0473,0.55537,0.80258,0.000990125,0.000990125,0.000990125
23,602.338,1.19261,0.62966,0.81547,0.90931,0.61418,0.67369,0.41754,1.11213,0.56288,0.80796,0.00097775,0.00097775,0.00097775
24,628.102,1.17173,0.6081,0.81062,0.90044,0.63792,0.68668,0.43062,1.03319,0.53639,0.80156,0.000965375,0.000965375,0.000965375
25,653.648,1.19516,0.61283,0.81394,0.91502,0.61314,0.68467,0.42343,1.11648,0.56108,0.80545,0.000953,0.000953,0.000953
26,679.864,1.24126,0.61806,0.81708,0.91474,0.62767,0.69651,0.43978,1.07354,0.54527,0.80325,0.000940625,0.000940625,0.000940625
27,706.075,1.20289,0.59871,0.81382,0.91678,0.63041,0.69657,0.41855,1.08446,0.54435,0.8019,0.00092825,0.00092825,0.00092825
28,731.902,1.15754,0.58544,0.80744,0.92959,0.65241,0.70147,0.45502,0.99112,0.51452,0.79693,0.000915875,0.000915875,0.000915875
29,757.918,1.14731,0.57635,0.80949,0.91986,0.65856,0.71273,0.44699,1.04026,0.51272,0.80153,0.0009035,0.0009035,0.0009035
30,783.952,1.14582,0.57062,0.80727,0.88817,0.66364,0.71797,0.45959,0.99621,0.51249,0.79756,0.000891125,0.000891125,0.000891125
31,810.29,1.11055,0.55553,0.80717,0.86401,0.67451,0.72517,0.46767,0.97887,0.4983,0.79621,0.00087875,0.00087875,0.00087875
